30, Pink, Jacksonville, Andrea Sofiason, Strawberry
Lucas Masonson, Red, Cookie-dough, 23, Morrisville
Greener, Jacob Andreason, Villeville, 41, Cookie-dough
Yellow, Morrisville, 86, Jackson Carterson, Vanilla
Strawberry, Greener, Chloe Emilyson, Jacobville, 64
Rocky-Road, Alex Oliviason, 57, JohnMcCallville, Ticklemepink
56, Isabella Oliviason, Jacksonville, Yellow, Vanilla
Jackson Masonson, Bloodred, Strawberry, 21, Morrisville
Rocky-Road, Morrisville, Red, 42, Emily Victoriason
Emma Sofiason, Villeville, green-blue, 19, Rocky-Road
Mason Jacksonson, 41, JohnMcCallville, Rocky-Road, Greener
72, Camille Andreason, Ticklemepink, Strawberry, Morrisville
89, Yellow, Jacksonville, Amanda Jackson, Rocky-Road
Chocolate, 87, Ticklemepink, Jacksonville, Alex Andreason
Jacksonville, Ethan Aidenson, Orange, Chocolate, 43
28, Jayden Lucasson, Blue, Vanilla, Villeville
Red-green, Morrisville, Rocky-Road, 33, Ava Amandason
65, Greener, Villeville, Carter Mayason, Cookie-dough
Jacksonville, Strawberry, 77, Olivia Liamson, Greener
Liam Benson, Vanilla, Red, 15, JohnMcCallville
Morrisville, Red-green, Aiden Benson, Rocky-Road, 44
Carter Emilyson, Greener, Jacksonville, Rocky-Road, 87
JohnMcCallville, Red, Jack Benson, 57, Rocky-Road
Strawberry, 58, Bloodred, Jacksonville, Amanda Chloeson
Morrisville, 10, Victoria Carterson, Ticklemepink, Rocky-Road
Blue, 28, Andrea Avason, Chocolate, Villeville
Vanilla, Blue, Jacksonville, Isabella Chloeson, 30
Noah Masonson, Jacobville, Bloodred, Strawberry, 58
green-blue, Morrisville, Alex Benson, Chocolate, 56
64, Strawberry, Jacobville, green-blue, Amanda Carterson
Emily Jaydenson, Greener, Vanilla, 47, JohnMcCallville
Jackson Jacksonson, Rocky-Road, 89, Red-green, Jacobville
Jacksonville, Amanda Jacobson, 33, Chocolate, Yellow
47, Orange, Rocky-Road, Carter Jacobson, Morrisville
Bloodred, Rocky-Road, 77, JohnMcCallville, Andrea Alexson
Emma Liamson, Red-green, 23, JohnMcCallville, Cookie-dough
JohnMcCallville, Jacob Emmason, 70, Strawberry, Red
Chocolate, Greener, 77, Lucas Lucasson, Jacksonville
Jacobville, Isabella Emilyson, Orange, Chocolate, 47
28, Villeville, Jacob Sofiason, green-blue, Chocolate
Strawberry, Ben Andreason, Jacksonville, 65, Orange
Red, 87, JohnMcCallville, Jayden Emmason, Cookie-dough
20, Ethan Lucasson, Chocolate, Villeville, Yellow
Villeville, Blue, Rocky-Road, 45, Sofia Oliviason
60, Yellow, Emma Chloeson, Jacobville, Strawberry
Mason Emilyson, 39, Jacksonville, Red, Chocolate
Orange, Camille Mayason, Rocky-Road, Jacobville, 59
Red-green, Vanilla, Jacksonville, 86, Camille Alexson
Cookie-dough, 11, Villeville, Ava Jacobson, Bloodred
Emily Jaydenson, Strawberry, 86, Morrisville, Orange
33, Liam Benson, Orange, Vanilla, Morrisville
Strawberry, Lucas Jacobson, Jacksonville, Pink, 29
Jackson Amandason, Chocolate, Red, Villeville, 68
Chocolate, Jacobville, Pink, 89, Andrea Aidenson
51, Jack Loganson, Villeville, Cookie-dough, Red-green
Jayden Benson, 24, Ticklemepink, Vanilla, JohnMcCallville
Jacobville, Vanilla, Emma Victoriason, 27, Red-green
Ben Amandason, Blue, Chocolate, Jacksonville, 28
46, Jacobville, Red, Alex Oliviason, Vanilla
Ethan Ethanson, 60, Pink, Vanilla, JohnMcCallville
Isabella Loganson, 36, Pink, Vanilla, Villeville
Red-green, Jacobville, 31, Cookie-dough, Lucas Sofiason
Mason Sofiason, Rocky-Road, 18, Orange, JohnMcCallville
Bloodred, Isabella Sofiason, 81, Villeville, Cookie-dough
46, Yellow, Morrisville, Olivia Victoriason, Chocolate
Yellow, Olivia Victoriason, Morrisville, Vanilla, 40
Liam Alexson, Morrisville, Pink, Vanilla, 66
Jayden Isabellason, 52, Villeville, Bloodred, Vanilla
Vanilla, Blue, Morrisville, Camille Chloeson, 32
Ethan Chloeson, Cookie-dough, Greener, Jacksonville, 13
