Andrea Sofiason, 30, Pink, Strawberry, Jacksonville
Alex Amandason, 67, Greener, Strawberry, Villeville
Ben Andreason, 55, Blue, Strawberry, Villeville
Emma Oliviason, 83, Ticklemepink, Rocky-Road, Morrisville
Logan Benson, 68, Red-green, Chocolate, Villeville
Andrea Victoriason, 78, Orange, Strawberry, Villeville
Camille Chloeson, 59, Greener, Vanilla, JohnMcCallville
Maya Jacksonson, 21, Yellow, Chocolate, JohnMcCallville
Lucas Masonson, 23, Red, Cookie-dough, Morrisville
Jacob Andreason, 41, Greener, Cookie-dough, Villeville
Jackson Carterson, 86, Yellow, Vanilla, Morrisville
Chloe Emilyson, 64, Greener, Strawberry, Jacobville
Alex Oliviason, 57, Ticklemepink, Rocky-Road, JohnMcCallville
Isabella Oliviason, 56, Yellow, Vanilla, Jacksonville
Jackson Masonson, 21, Bloodred, Strawberry, Morrisville
Emily Victoriason, 42, Red, Rocky-Road, Morrisville
Emma Sofiason, 19, green-blue, Rocky-Road, Villeville
Mason Jacksonson, 41, Greener, Rocky-Road, JohnMcCallville
Camille Andreason, 72, Ticklemepink, Strawberry, Morrisville
Amanda Jackson, 89, Yellow, Rocky-Road, Jacksonville
Alex Andreason, 87, Ticklemepink, Chocolate, Jacksonville
Ethan Aidenson, 43, Orange, Chocolate, Jacksonville
Jayden Lucasson, 28, Blue, Vanilla, Villeville
Ava Amandason, 33, Red-green, Rocky-Road, Morrisville
Carter Mayason, 65, Greener, Cookie-dough, Villeville
Olivia Liamson, 77, Greener, Strawberry, Jacksonville
Liam Benson, 15, Red, Vanilla, JohnMcCallville
Aiden Benson, 44, Red-green, Rocky-Road, Morrisville
Carter Emilyson, 87, Greener, Rocky-Road, Jacksonville
Jack Benson, 57, Red, Rocky-Road, JohnMcCallville
Amanda Chloeson, 58, Bloodred, Strawberry, Jacksonville
Victoria Carterson, 10, Ticklemepink, Rocky-Road, Morrisville
Andrea Avason, 28, Blue, Chocolate, Villeville
Isabella Chloeson, 30, Blue, Vanilla, Jacksonville
Noah Masonson, 58, Bloodred, Strawberry, Jacobville
Alex Benson, 56, green-blue, Chocolate, Morrisville
Amanda Carterson, 64, green-blue, Strawberry, Jacobville
Emily Jaydenson, 47, Greener, Vanilla, JohnMcCallville
Jackson Jacksonson, 89, Red-green, Rocky-Road, Jacobville
Amanda Jacobson, 33, Yellow, Chocolate, Jacksonville
Carter Jacobson, 47, Orange, Rocky-Road, Morrisville
Andrea Alexson, 77, Bloodred, Rocky-Road, JohnMcCallville
Emma Liamson, 23, Red-green, Cookie-dough, JohnMcCallville
Jacob Emmason, 70, Red, Strawberry, JohnMcCallville
Lucas Lucasson, 77, Greener, Chocolate, Jacksonville
Isabella Emilyson, 47, Orange, Chocolate, Jacobville
Jacob Sofiason, 28, green-blue, Chocolate, Villeville
Ben Andreason, 65, Orange, Strawberry, Jacksonville
Jayden Emmason, 87, Red, Cookie-dough, JohnMcCallville
Ethan Lucasson, 20, Yellow, Chocolate, Villeville
Sofia Oliviason, 45, Blue, Rocky-Road, Villeville
Emma Chloeson, 60, Yellow, Strawberry, Jacobville
Mason Emilyson, 39, Red, Chocolate, Jacksonville
Camille Mayason, 59, Orange, Rocky-Road, Jacobville
Camille Alexson, 86, Red-green, Vanilla, Jacksonville
Ava Jacobson, 11, Bloodred, Cookie-dough, Villeville
Emily Jaydenson, 86, Orange, Strawberry, Morrisville
Liam Benson, 33, Orange, Vanilla, Morrisville
Lucas Jacobson, 29, Pink, Strawberry, Jacksonville
Jackson Amandason, 68, Red, Chocolate, Villeville
Andrea Aidenson, 89, Pink, Chocolate, Jacobville
Jack Loganson, 51, Red-green, Cookie-dough, Villeville
Jayden Benson, 24, Ticklemepink, Vanilla, JohnMcCallville
Emma Victoriason, 27, Red-green, Vanilla, Jacobville
Ben Amandason, 28, Blue, Chocolate, Jacksonville
Alex Oliviason, 46, Red, Vanilla, Jacobville
Ethan Ethanson, 60, Pink, Vanilla, JohnMcCallville
Isabella Loganson, 36, Pink, Vanilla, Villeville
Lucas Sofiason, 31, Red-green, Cookie-dough, Jacobville
Mason Sofiason, 18, Orange, Rocky-Road, JohnMcCallville
Isabella Sofiason, 81, Bloodred, Cookie-dough, Villeville
Olivia Victoriason, 46, Yellow, Chocolate, Morrisville
Olivia Victoriason, 40, Yellow, Vanilla, Morrisville
Liam Alexson, 66, Pink, Vanilla, Morrisville
Jayden Isabellason, 52, Bloodred, Vanilla, Villeville
Camille Chloeson, 32, Blue, Vanilla, Morrisville
Ethan Chloeson, 13, Greener, Cookie-dough, Jacksonville
