id,name,age,blood,ss,allergy,ailments,medications
728,Emma Emilyson,96,B+,227-78-8977,Peanuts,{},{4}
729,Lucas Noahson,97,A-,526-06-3415,Weeds,{11;13},{3}
730,Jackson Camilleson,72,AB+,573-45-2899,Soy,{6;13;1},{5}
731,Logan Alexson,51,B-,955-88-4325,Wheat,{},{}
732,Sofia Ethanson,86,A+,359-49-9654,Dust,{},{2;8;4;3}
733,Ben Jaydenson,32,A+,014-64-5084,Milk,{8;11},{}
734,Noah Emmason,16,B+,320-43-3961,Eggs,{10;5;4},{3;2}
735,Ethan Emmason,59,B-,351-27-6071,Pollen,{},{1}
736,Maya Andreason,100,A-,472-69-5261,Eggs,{8;10},{4;7}
737,Ben Jackson,67,B-,001-16-6665,Milk,{12;4},{8;7}
738,Sofia Camilleson,34,AB+,405-98-3278,Wheat,{13;5;4},{3}
739,Logan Mayason,82,O+,483-54-3540,n/a,{9;5},{7;6}
740,Jayden Amandason,56,A+,472-80-7963,Milk,{4;8},{}
741,Ava Emilyson,74,A+,797-00-3895,Dust,{8},{2}
742,Sofia Oliviason,59,B-,455-90-0014,n/a,{9;13},{7;2;4}
743,Emily Camilleson,21,B-,738-53-9111,Weeds,{1;3;5},{1;6;4;3}
744,Emily Andreason,62,B-,013-76-8460,Shellfish,{6},{}
745,Mason Avason,89,B-,912-51-5082,Fish,{},{}
746,Noah Aidenson,27,B+,566-24-9801,Tree nuts,{},{1}
747,Sofia Isabellason,82,B+,919-27-0734,Pollen,{10},{}
748,Olivia Mayason,72,AB-,775-14-0264,Wheat,{},{2}
749,Logan Carterson,83,B-,062-40-7853,n/a,{},{4;2}
750,Jackson Sofiason,13,O-,269-27-8880,Pollen,{9;4},{6;2;1}
751,Alex Victoriason,62,A+,110-97-4476,Grass,{},{7;2}
752,Aiden Sofiason,88,O-,740-12-8624,Mold,{4},{1;5;7}
753,Sofia Camilleson,31,A-,136-94-2190,Wheat,{5;11;4},{5;6;1;2}
754,Liam Mayason,29,B+,240-92-3937,Grass,{8;2},{}
755,Lucas Aidenson,101,AB-,074-66-6415,Eggs,{9;7;12},{5;8;7;6}
756,Ben Jaydenson,66,AB+,767-93-2444,Eggs,{3},{1}
757,Jackson Andreason,37,B+,847-22-2185,Milk,{6;9;13},{8}
758,Amanda Mayason,48,O-,118-21-3611,Peanuts,{10},{5;7}
759,Amanda Jacksonson,25,A-,463-18-4647,Shellfish,{9;4;3},{1;7}
760,Emily Benson,95,AB-,975-72-1486,Weeds,{3;4;8},{1;4;6;7}
761,Olivia Benson,31,O-,437-48-4681,Peanuts,{9;7;1},{7;3;1;8}
762,Olivia Jaydenson,36,O-,889-89-3077,Tree nuts,{7;4;9},{6}
763,Mason Camilleson,20,A-,066-86-4814,Shellfish,{2;5},{}
764,Ben Victoriason,49,B+,368-91-2594,Fish,{11;8},{}
765,Olivia Amandason,39,B+,616-22-3136,Dust,{11;4;5},{5;1}
766,Camille Noahson,69,B-,676-96-0963,Shellfish,{8},{}
767,Jackson Chloeson,52,B-,137-25-4352,Pollen,{},{3;6;4;8}
768,Mason Jackson,87,AB+,754-75-7521,Dust,{3},{7;2;3}
769,Sofia Jacksonson,99,O-,468-96-1859,Weeds,{1;13},{}
770,Emily Avason,54,A-,384-95-5215,Tree nuts,{4;10;7},{3;8;2;7}
771,Alex Avason,18,AB+,573-17-0296,Tree nuts,{4;1},{7}
772,Jayden Emilyson,68,B-,178-47-0580,Soy,{6;10;11},{7;8}
773,Lucas Victoriason,37,B+,443-61-7827,Dust,{1},{2;6;3}
774,Carter Jacksonson,28,B-,770-77-5145,Grass,{9;1;5},{}
775,Olivia Carterson,101,AB+,400-51-1854,Dust,{10},{4;1;5}
776,Jackson Alexson,63,AB-,733-31-7128,Pollen,{5;1},{}
777,Liam Masonson,82,O-,882-10-9110,Shellfish,{13;10},{3;5;4;7}
778,Mason Liamson,61,O+,534-84-4044,Fish,{13},{1;6;2;5}
779,Andrea Sofiason,96,B-,788-59-7046,n/a,{3;2},{1;2;7}
780,Amanda Carterson,39,B+,433-99-0844,Fish,{},{}
781,Maya Noahson,85,AB-,313-21-1691,Soy,{1},{2;6;7;3}
782,Jayden Oliviason,76,O-,100-71-2129,Eggs,{},{3;7;2}
783,Isabella Alexson,101,B+,589-35-7913,Grass,{12;9;6},{6}
784,Chloe Emilyson,57,AB+,966-92-2220,Grass,{},{}
785,Emma Andreason,75,A+,675-03-4946,Dust,{9;2},{7;8;4}
786,Camille Victoriason,62,B+,323-60-0420,Peanuts,{7},{3;8}
787,Mason Camilleson,82,A+,368-96-5086,Shellfish,{10;12;4},{4;3}
788,Logan Lucasson,77,A-,972-87-4832,Wheat,{},{5;7;2;3}
789,Jackson Isabellason,45,O+,466-07-4552,n/a,{9;1},{}
790,Aiden Avason,13,O+,512-37-3937,Grass,{},{5;4}
791,Mason Mayason,28,A+,351-61-6547,Weeds,{5;4},{5;3;8}
792,Jayden Isabellason,31,B+,100-25-5853,Dust,{9;10;8},{5;1;2;4}
793,Mason Oliviason,23,O+,450-21-0887,Peanuts,{1;8;13},{5;8}
794,Victoria Isabellason,52,A+,209-36-2111,Pollen,{1;4},{5;7}
795,Olivia Victoriason,79,O+,573-22-0407,Wheat,{1;6;5},{}
796,Victoria Avason,98,AB+,126-15-9068,Mold,{5;6},{3}
797,Victoria Alexson,15,B-,807-53-3806,Tree nuts,{1},{3;2;1;7}
798,Carter Aidenson,40,O-,221-29-0997,Milk,{},{1;6;7}
799,Mason Camilleson,84,AB-,517-52-8192,Tree nuts,{7},{5;3;8;2}
800,Sofia Liamson,29,AB+,784-01-0574,Eggs,{8},{6;7;8}
801,Ben Alexson,21,AB-,647-11-2364,Milk,{9},{2;7;8;3}
802,Mason Emmason,91,O+,535-97-2300,Grass,{2;1;9},{5;8;2}
803,Isabella Camilleson,69,B+,170-94-6421,Pollen,{8},{}
804,Noah Carterson,58,B+,672-87-4061,Mold,{5;4;12},{}
805,Ben Carterson,53,AB-,534-10-7220,Milk,{},{7}
806,Amanda Avason,46,O-,871-48-9638,Fish,{11},{}
807,Victoria Jackson,99,A+,905-44-7960,Peanuts,{13;2},{2}
808,Jayden Oliviason,26,B-,319-52-9566,Pollen,{6;3},{}
809,Andrea Masonson,89,AB-,847-08-4662,Soy,{5;10;1},{2}
810,Logan Sofiason,43,AB-,069-09-8964,Milk,{12;6;13},{6;8;2;3}
811,Aiden Isabellason,32,AB+,726-77-7754,Shellfish,{10;1},{7;4;8}
812,Ava Sofiason,13,AB-,070-04-6790,Wheat,{9;8;5},{8}
813,Lucas Isabellason,63,A-,878-32-2939,n/a,{13;11;2},{1}
814,Sofia Emilyson,73,B+,213-17-8314,Fish,{},{5;4}
815,Ethan Oliviason,66,O+,242-59-9014,Grass,{6;5;11},{4;7;5}
816,Emily Oliviason,17,AB-,961-54-6869,Shellfish,{13},{}
817,Ava Emmason,25,O-,560-03-5467,Tree nuts,{},{5;7}
818,Emma Sofiason,91,AB+,897-34-8535,Fish,{},{3;8;6}
819,Mason Liamson,79,AB+,580-00-9803,Fish,{},{7}
820,Andrea Andreason,15,B+,488-25-9053,Peanuts,{13},{4;2;5;7}
821,Victoria Benson,40,O+,426-37-4271,Eggs,{8;6},{1;7;2;3}
822,Noah Liamson,93,AB+,164-34-8896,Wheat,{5;3},{}
823,Jack Sofiason,53,AB+,229-54-6599,Mold,{11;1;13},{3}
824,Chloe Avason,41,O+,368-03-2080,Eggs,{},{5;2;8}
825,Mason Andreason,15,O-,479-23-4138,Milk,{11},{2;3}
826,Lucas Emmason,20,A-,415-28-4819,Weeds,{10;3;13},{1;8;2}
827,Emma Chloeson,91,B+,566-42-2683,Dust,{8;4},{2;8;1}
828,Jayden Victoriason,71,B+,228-80-7877,Tree nuts,{1;5},{3;4;6;2}
829,Olivia Jacksonson,90,AB-,588-63-2199,Milk,{7;8;13},{1;8;4;7}
830,Olivia Victoriason,64,O+,329-35-6278,Wheat,{9;2},{7;8}
831,Olivia Mayason,88,A+,388-02-1599,Weeds,{6},{7;8;4;6}
832,Ethan Avason,33,B+,056-26-6674,Eggs,{3},{2}
833,Jack Loganson,96,A+,154-68-6609,Milk,{7;6;3},{}
834,Ethan Andreason,83,AB-,331-43-2444,Mold,{11;12},{}
835,Carter Andreason,16,AB-,503-29-2187,Tree nuts,{},{6;8;3;1}
836,Lucas Aidenson,69,AB-,531-81-0155,Peanuts,{3},{6;1;4;2}
837,Andrea Carterson,32,AB+,072-26-5362,Milk,{10},{8;4;1;3}
838,Logan Emilyson,18,O+,326-98-8213,Tree nuts,{},{}
839,Logan Alexson,58,B-,826-64-8619,Pollen,{6},{}
840,Emily Mayason,62,AB-,287-43-3978,Eggs,{},{2}
841,Emma Alexson,61,A-,193-94-0157,n/a,{},{5}
842,Jackson Noahson,34,B-,814-50-9196,Wheat,{12;11;4},{4;7;3;5}
843,Jayden Jaydenson,42,B-,160-18-2191,Pollen,{13;2},{4;2;3}
844,Sofia Loganson,41,AB-,140-00-5616,n/a,{},{1;8;6}
845,Chloe Victoriason,66,O-,872-67-4056,Grass,{4},{2;6}
846,Andrea Masonson,71,A+,259-06-1632,Shellfish,{6;8;5},{}
847,Camille Ethanson,96,O-,578-97-6345,Weeds,{7;6;2},{8;7}
848,Alex Masonson,23,AB-,222-73-4283,Peanuts,{},{7;2;3}
849,Logan Ethanson,89,O-,762-25-7227,Milk,{6;13;2},{}
850,Olivia Noahson,45,B+,000-42-3722,Fish,{5},{1}
851,Jack Oliviason,96,B+,418-18-6806,Pollen,{11;13},{8;1}
852,Victoria Alexson,56,A+,046-02-1256,Tree nuts,{1;9},{3;4;6;8}
853,Alex Ethanson,100,A-,472-26-6816,Wheat,{8},{}
854,Sofia Noahson,35,O+,054-37-7557,Milk,{12},{3;2;6;5}
855,Liam Alexson,74,AB-,687-83-4861,Wheat,{3;12},{5}
856,Lucas Mayason,14,A-,025-08-5914,Fish,{4;9;2},{8}
857,Ethan Chloeson,91,A+,034-60-3196,Eggs,{11;5},{5;2}
858,Amanda Camilleson,83,B+,521-92-0219,Fish,{6;12},{1;2;6;5}
859,Liam Liamson,50,B+,423-46-3634,Shellfish,{3;1;5},{5;1;4}
860,Jackson Oliviason,75,B-,011-49-5148,Eggs,{6;11;7},{8;4;3;7}
861,Ava Chloeson,72,B-,010-65-9175,Dust,{},{7;8}
862,Jayden Amandason,71,A+,889-63-3563,n/a,{2;7;6},{5;3;1;4}
863,Logan Sofiason,60,B-,866-62-7008,Milk,{7;8},{2;3}
864,Logan Sofiason,30,O+,254-56-1800,Mold,{9;7;1},{6}
865,Amanda Mayason,62,A+,367-79-7485,Pollen,{8;10},{4}
866,Jack Liamson,15,AB+,460-96-3714,Weeds,{},{}
867,Noah Emilyson,65,B-,826-40-2865,Tree nuts,{3;11;6},{1;7}
868,Amanda Andreason,46,AB-,231-96-7566,Grass,{12},{1}
869,Emma Avason,18,O-,472-00-3009,Eggs,{6;3},{8}
870,Lucas Jacksonson,56,AB+,903-70-5118,Fish,{13;9},{}
871,Emma Jackson,70,B+,095-27-6905,Dust,{},{5;2}
872,Sofia Sofiason,53,B+,068-40-0406,Peanuts,{3},{}
873,Olivia Victoriason,59,B-,984-37-5536,Shellfish,{10;4},{8;6;4}
874,Maya Masonson,93,AB+,738-53-5885,Weeds,{2;1},{7;4;5}
875,Emily Alexson,93,O-,047-70-8859,Milk,{13},{2;4}
876,Ben Oliviason,52,B-,766-54-6854,Peanuts,{6;9;7},{7;3}
877,Olivia Jackson,12,O+,009-19-7528,Mold,{8},{3;2}
878,Victoria Aidenson,15,A-,479-12-8992,Soy,{7},{1;6}
879,Isabella Amandason,35,A-,465-52-2730,Dust,{8;6;4},{3;7;4;6}
880,Mason Alexson,101,A+,316-08-3800,Pollen,{12},{8}
881,Ben Alexson,46,B+,486-40-9662,Grass,{6;4;8},{1}
882,Logan Isabellason,89,B+,628-39-3834,Tree nuts,{10},{}
883,Liam Noahson,19,A+,633-37-3643,Eggs,{},{7;5;2}
884,Amanda Loganson,48,O-,795-86-3911,Mold,{1},{6;1}
885,Lucas Aidenson,68,AB-,310-35-5405,Tree nuts,{5;3;2},{2;7;1}
886,Lucas Masonson,82,O+,192-74-3253,Mold,{2;6},{2;3}
887,Mason Liamson,56,A+,993-22-6863,Soy,{},{1;3;5}
888,Lucas Jackson,61,A-,506-01-0385,Soy,{10;3},{6;8;4}
889,Emma Avason,52,O-,188-25-4472,n/a,{5},{5;6}
890,Noah Alexson,71,A+,422-07-3226,Dust,{},{}
891,Alex Chloeson,94,B+,878-88-9997,Fish,{},{4}
892,Olivia Jackson,72,O-,959-70-1794,n/a,{},{7;8;4}
893,Jacob Sofiason,23,B+,068-52-6095,Dust,{9;8},{2;7}
894,Emma Jackson,47,A+,519-72-1499,Eggs,{1;11},{8;5;1;3}
895,Emily Aidenson,19,B-,226-39-9421,Pollen,{2},{2}
896,Amanda Jackson,25,O+,624-87-2507,Eggs,{13;8},{8;3}
897,Isabella Emilyson,30,B-,633-08-3510,Wheat,{4},{1}
898,Emily Jacobson,83,AB+,180-46-6827,Mold,{5;11},{2;6;3;5}
899,Maya Noahson,70,B+,153-68-2979,Peanuts,{},{}
900,Lucas Alexson,75,O+,931-43-5352,Weeds,{11},{2;4;8}
901,Jacob Benson,29,A-,968-57-0967,n/a,{10;4;2},{5;8;2}
902,Liam Lucasson,21,A+,842-69-2610,n/a,{6;5;7},{}
903,Jackson Alexson,38,AB-,825-57-6635,Fish,{9;11},{1;2;6}
904,Victoria Liamson,96,AB-,224-20-7024,Shellfish,{13},{8}
905,Amanda Oliviason,40,AB-,951-35-9051,Tree nuts,{},{6;7;8}
906,Olivia Chloeson,78,B+,867-37-3823,Mold,{13},{7;8;4;6}
907,Chloe Isabellason,18,AB+,140-41-5277,Fish,{6;12},{7;2;6;1}
908,Mason Jacobson,97,B-,253-62-2145,Eggs,{5},{}
909,Jacob Andreason,79,A+,763-41-1404,Shellfish,{},{6;4;1;8}
910,Ava Ethanson,25,AB-,563-41-8502,Milk,{},{}
911,Ben Oliviason,51,O+,103-28-8515,Dust,{},{}
912,Alex Jacobson,81,B-,727-14-9485,Peanuts,{8;7},{4;1}
913,Aiden Chloeson,88,AB+,241-87-0626,Pollen,{1},{7;1}
914,Sofia Andreason,100,AB+,011-21-3165,Peanuts,{4;2;8},{6;3;5}
915,Jayden Camilleson,56,AB+,940-14-3912,Soy,{},{}
916,Jacob Victoriason,20,AB+,808-48-8338,Wheat,{8;2},{2;4}
917,Camille Carterson,23,B+,810-64-0325,Grass,{1},{4;3}
918,Camille Jacksonson,65,B+,228-26-7933,Tree nuts,{},{2;7;3;5}
919,Carter Camilleson,79,O+,291-37-0557,Milk,{12},{5;8}
920,Amanda Amandason,77,B+,463-06-0298,Eggs,{3;8},{}
921,Jacob Ethanson,43,B-,001-51-8182,Soy,{6},{6;7}
922,Liam Isabellason,65,B+,899-55-8561,n/a,{1;3;5},{2;8;6}
923,Lucas Emilyson,29,AB-,114-25-9299,Fish,{},{5}
924,Olivia Amandason,44,A-,398-74-5372,Weeds,{2;1},{4;7}
925,Jacob Liamson,45,A+,591-08-7733,Mold,{},{3;7;5}
926,Lucas Jackson,87,O+,434-83-7064,Fish,{},{}
927,Alex Victoriason,89,B+,180-84-6128,Grass,{},{2;7;8;6}
928,Jack Mayason,52,O+,945-94-0960,Grass,{2;5;12},{7;3;2}
929,Lucas Jackson,65,B-,231-74-4338,Mold,{},{}
930,Andrea Isabellason,89,O+,419-54-2057,Tree nuts,{9},{3;1;5;2}
931,Jacob Isabellason,96,AB-,728-33-0221,Peanuts,{},{}
932,Carter Aidenson,89,A+,836-64-8344,Peanuts,{5;7},{6;5;8}
933,Logan Jacksonson,48,A+,815-11-2266,Wheat,{},{8;4;7}
934,Maya Benson,71,O-,473-63-8233,Shellfish,{5},{}
935,Liam Noahson,72,AB+,239-13-1293,Eggs,{7;12},{2;1;7;3}
936,Emma Benson,100,O+,291-13-7365,Soy,{9;12;4},{}
937,Mason Emmason,44,B+,139-04-6461,Shellfish,{5},{5;8;6;4}
938,Noah Chloeson,82,B+,942-89-0066,Pollen,{7},{}
939,Camille Benson,87,B+,969-81-0602,Peanuts,{11;3},{}
940,Logan Masonson,30,O-,482-20-3284,Weeds,{9;1},{8;3;4;5}
941,Sofia Carterson,25,A-,022-60-0151,Wheat,{13;9},{6;5}
942,Alex Noahson,97,A+,023-77-8836,Eggs,{},{1;7;4}
943,Victoria Jaydenson,68,A+,903-37-1615,n/a,{7;11;1},{6}
944,Jackson Avason,46,A+,424-66-7375,Mold,{6},{8;7;1;5}
945,Aiden Mayason,81,AB+,421-07-7179,Fish,{},{1;4;7}
946,Olivia Camilleson,99,AB+,539-55-8145,Tree nuts,{1;12},{3}
947,Camille Aidenson,82,O-,033-65-2620,n/a,{},{7}
948,Victoria Jaydenson,57,O-,202-78-0089,Tree nuts,{5;1;9},{4;2;8;3}
949,Jack Jacobson,14,B-,430-59-4670,n/a,{13;2;5},{}
950,Jacob Victoriason,83,A-,807-49-9093,Soy,{2;13},{1}
951,Aiden Noahson,87,O-,705-16-0467,Wheat,{},{3;8;7}
952,Ben Jacobson,66,A-,291-05-3679,Dust,{1;2;7},{4;2;8}
953,Liam Amandason,20,O-,940-64-4147,Pollen,{4},{4;1;2;5}
954,Logan Camilleson,55,B+,004-31-2415,Milk,{},{3;8}
955,Ben Masonson,39,B+,621-09-5077,Soy,{6;8;7},{8;2}
956,Camille Jackson,69,A+,689-72-9817,Fish,{},{2;3;7}
957,Noah Alexson,49,AB+,715-66-5461,Weeds,{},{}
958,Ava Lucasson,38,O+,671-26-4794,Shellfish,{12;11;13},{5;1;4;7}
959,Victoria Lucasson,96,A+,814-41-9338,Peanuts,{12;6},{1;5;2;4}
960,Jayden Alexson,88,AB-,482-62-4130,Fish,{11;12;1},{5;7;8}
961,Liam Amandason,14,B-,743-74-5619,Fish,{5;7},{6;8;4}
962,Jackson Oliviason,91,A+,435-86-4943,n/a,{6},{4}
963,Jack Noahson,77,B-,233-86-5149,Weeds,{},{4;6;8;3}
964,Isabella Jacobson,56,A-,901-53-2998,Grass,{4;7},{8}
965,Jacob Alexson,86,AB-,204-45-2425,Weeds,{7;10},{1}
966,Maya Emmason,56,A-,303-27-3438,Milk,{},{1;8}
967,Sofia Chloeson,73,O-,902-20-1756,Wheat,{},{}
968,Jacob Emmason,63,A+,553-38-7726,Wheat,{4},{6;2}
969,Ben Loganson,57,AB+,143-05-2206,Weeds,{},{8;1;3;2}
970,Liam Carterson,11,AB+,520-61-3582,n/a,{},{6;4;5}
971,Mason Masonson,26,B+,882-47-6727,Dust,{11;5},{}
972,Logan Carterson,74,A-,435-46-3648,Pollen,{6;2},{7;2}
973,Olivia Oliviason,26,B-,522-42-1823,Grass,{},{}
974,Liam Sofiason,43,B+,347-01-6179,Dust,{12;6},{2}
975,Ben Ethanson,27,B+,153-56-0537,Tree nuts,{5;4},{2;8}
976,Lucas Mayason,44,A-,585-63-2565,Mold,{},{4}
977,Emma Ethanson,67,A+,560-48-1983,n/a,{12},{6}
978,Amanda Ethanson,49,AB+,095-22-5740,Mold,{},{8;6;1}
979,Liam Camilleson,74,AB-,752-47-0022,Grass,{12},{}
980,Jayden Carterson,96,A-,377-56-3469,Wheat,{},{8;4}
981,Jayden Carterson,86,A+,717-91-1602,Wheat,{},{3;5}
982,Amanda Masonson,54,O+,561-08-2276,Peanuts,{12},{2;7;8;1}
983,Amanda Isabellason,85,O-,972-85-8596,Peanuts,{},{6;8}
984,Noah Masonson,95,AB+,259-40-1691,n/a,{12;10},{}
985,Andrea Emmason,18,A+,275-02-0994,Pollen,{4},{4;6;1;8}
986,Victoria Alexson,97,A+,044-64-6725,Shellfish,{},{7;6;2}
987,Ben Jaydenson,16,A-,904-64-9252,Wheat,{},{1;2}
988,Isabella Jacksonson,68,O+,016-77-9437,Soy,{},{8;7}
989,Jayden Camilleson,28,B+,516-11-4006,Wheat,{4},{2}
990,Isabella Jacobson,86,A+,747-65-0091,Shellfish,{1},{}
991,Ethan Sofiason,80,B-,150-18-3584,Milk,{6;1},{1;4}
992,Jackson Lucasson,100,O-,231-87-1811,Eggs,{1;3;8},{3;7}
993,Ava Ethanson,18,AB-,089-38-5835,n/a,{},{}
994,Emily Isabellason,27,AB-,884-51-7823,Pollen,{13},{4;6;5}
995,Jack Jacksonson,12,O+,176-54-6405,Wheat,{10;2},{8;1;4}
996,Olivia Carterson,51,AB-,833-27-6587,Weeds,{1;4},{7;8;1;5}
997,Jack Jackson,23,AB+,862-21-8830,Grass,{1},{2}
998,Camille Chloeson,28,B-,486-21-6390,Grass,{6;9;3},{}
999,Jayden Camilleson,96,AB-,497-46-4873,Pollen,{7},{2;1}
1000,Liam Liamson,101,A-,517-95-4403,Shellfish,{6;5;9},{5;8;1;6}
